Category,Processed_Message,Anomaly_Label
1,"['please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am9pm', 'guaranteed', '£1000', 'cash', '£5000', 'prize']",normal
0,"['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'already']",normal
1,"['free', 'ringtone', 'waiting', 'collected', 'simply', 'text', 'password', 'mix', '85069', 'verify', 'get', 'usher', 'britney', 'fml', 'po', 'box', '5249', 'mk17', '92h', '450ppw', '16']",normal
0,"['watching', 'telugu', 'moviewat', 'abt', 'u']",normal
0,"['see', 'finish', 'load', 'loan', 'pay']",normal
0,"['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdresser', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'doe', 'cause', 'prob', 'u']",normal
0,"['see', 'cup', 'coffee', 'animation']",normal
0,"['please', 'dont', 'text', 'anymore', 'nothing', 'else', 'say']",normal
0,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'xx']",normal
0,"['im', 'still', 'looking', 'car', 'buy', 'gone', '4the', 'driving', 'test', 'yet']",normal
0,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'ha', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune']",normal
0,"['wow', 'youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'say', 'boston']",normal
0,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",normal
0,"['thanks', 'lot', 'wish', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable']",normal
0,"['aight', 'ill', 'hit', 'get', 'cash']",normal
0,"['would', 'ip', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server']",normal
0,"['know', 'grumpy', 'old', 'people', 'mom', 'wa', 'like', 'better', 'lying', 'always', 'one', 'play', 'joke']",normal
0,"['dont', 'worry', 'guess', 'busy']",normal
0,"['plural', 'noun', 'research']",normal
0,"['going', 'dinnermsg']",normal
0,"['im', 'ok', 'wif', 'co', 'like', '2', 'try', 'new', 'thing', 'scared', 'u', 'dun', 'like', 'mah', 'co', 'u', 'said', 'loud']",normal
1,"['gent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', '£1000', 'prize', 'guaranteed', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', '150ppm']",normal
0,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happened']",anomaly
0,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'bos', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",normal
1,"['winner', 'u', 'specially', 'selected', '2', 'receive', '£1000', '4', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810910pmin', '18']",normal
0,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed']",normal
0,"['hmmmy', 'uncle', 'informed', 'paying', 'school', 'directly', 'pls', 'buy', 'food']",normal
1,"['private', '2004', 'account', 'statement', '07742676969', 'show', '786', 'unredeemed', 'bonus', 'point', 'claim', 'call', '08719180248', 'identifier', 'code', '45239', 'expires']",normal
1,"['urgent', 'mobile', 'wa', 'awarded', '£2000', 'bonus', 'caller', 'prize', '5903', 'final', 'try', 'contact', 'u', 'call', 'landline', '09064019788', 'box42wr29c', '150ppm']",normal
0,"['new', 'address', 'applespairsall', 'malarky']",normal
1,"['today', 'voda', 'number', 'ending', '7548', 'selected', 'receive', '350', 'award', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '4041', 'standard', 'rate', 'app']",normal
0,"['going', 'sao', 'mu', 'today', 'done', '12']",normal
0,"['ü', 'predict', 'wat', 'time', 'üll', 'finish', 'buying']",normal
0,"['good', 'stuff']",normal
0,"['knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'dont', 'involve', 'anything', 'shouldnt', 'imposed', 'anything', 'first', 'place', 'apologise']",normal
0,['room'],normal
0,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']",normal
0,"['kkhow', 'much', 'doe', 'cost']",normal
0,"['im', 'home']",normal
0,"['dear', 'call', 'tmorrowpls', 'accomodate']",normal
0,"['first', 'answer', 'question']",normal
1,"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', '82277', '£150', 'sptyrone']",normal
1,"['want', '2', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'location', 'sent', 'direct', '2', 'ur', 'mob', 'join', 'uk', 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', '69888', 'nt', 'ec2a', '31pmsg150p']",anomaly
0,"['haf', 'msn', 'yijuehotmailcom']",normal
0,"['call', 'meet']",normal
0,"['check', 'room', 'befor', 'activity']",normal
1,"['youll', 'rcv', 'msg', 'chat', 'svc', 'free', 'hardcore', 'service', 'text', 'go', '69988', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'yr', 'network', 'try']",anomaly
0,"['got', 'c', 'lazy', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']",normal
0,"['k', 'text', 'youre', 'way']",normal
0,"['sir', 'waiting', 'mail']",normal
0,"['swt', 'thought', 'nver', 'get', 'tired', 'little', 'thing', '4', 'lovable', 'person', 'cozsomtimes', 'little', 'thing', 'occupy', 'biggest', 'part', 'heart', 'gud', 'ni8']",normal
0,"['know', 'pls', 'open', 'back']",normal
0,"['yes', 'see', 'ya', 'dot']",normal
0,"['whats', 'staff', 'name', 'taking', 'class', 'u']",normal
1,"['freemsg', 'havent', 'replied', 'text', 'im', 'randy', 'sexy', 'female', 'live', 'local', 'luv', 'hear', 'u', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'reply', 'stop', 'end']",normal
0,"['ummmawill', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard']",normal
0,"['ki', 'deleted', 'contact']",normal
0,"['sindu', 'got', 'job', 'birla', 'soft']",normal
0,"['wine', 'flowing', 'im', 'nevering']",normal
0,"['yup', 'thk', 'cine', 'better', 'co', 'need', '2', 'go', '2', 'plaza', 'mah']",anomaly
0,"['ok', 'ur', 'typical', 'reply']",normal
0,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'ha', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune']",normal
0,"['everywhere', 'dirt', 'floor', 'window', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'come', 'flowing', 'dream', 'world', 'without', 'half', 'chore', 'time', 'joy', 'lot', 'tv', 'show', 'ill', 'see', 'guess', 'like', 'thing', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'become', 'one']",normal
0,"['aaooooright', 'work']",normal
0,"['im', 'leaving', 'house']",normal
0,"['hello', 'love', 'get', 'interview', 'today', 'happy', 'good', 'boy', 'think', 'meare', 'missing']",normal
1,"['customer', 'service', 'annoncement', 'new', 'year', 'delivery', 'waiting', 'please', 'call', '07046744435', 'arrange', 'delivery']",normal
1,"['winner', 'u', 'specially', 'selected', '2', 'receive', '£1000', 'cash', '4', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810810']",normal
0,"['keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'see', 'real', 'life']",normal
0,"['new', 'car', 'house', 'parentsi', 'new', 'job', 'hand']",normal
0,"['im', 'love', 'im', 'excited', 'day', 'spend', 'make', 'happy']",normal
1,"['pls', 'stop', 'bootydelious', '32f', 'inviting', 'friend', 'reply', 'yes434', 'no434', 'see', 'wwwsmsacubootydelious', 'stop', 'send', 'stop', 'frnd', '62468']",normal
1,"['bangbabes', 'ur', 'order', 'way', 'u', 'receive', 'service', 'msg', '2', 'download', 'ur', 'content', 'u', 'goto', 'wap', 'bangb', 'tv', 'ur', 'mobile', 'internetservice', 'menu']",normal
0,"['place', 'ur', 'point', 'e', 'culture', 'module', 'already']",normal
1,"['urgent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', '£900', 'prize', 'guaranteed', 'call', '09061701939', 'claim', 'code', 's89', 'valid', '12hrs']",normal
0,"['hi', 'frnd', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'one']",normal
0,"['great', 'escape', 'fancy', 'bridge', 'need', 'lager', 'see', 'tomo']",normal
0,"['yes', 'completely', 'formclark', 'also', 'utter', 'waste']",normal
0,"['sir', 'need', 'axis', 'bank', 'account', 'bank', 'address']",normal
0,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', '4', 'free', 'abt', 'muz', 'call', 'u', 'discus', 'liao']",anomaly
0,"['time', 'coming', 'later']",normal
0,"['bloody', 'hell', 'cant', 'believe', 'forgot', 'surname', 'mr', 'ill', 'give', 'u', 'clue', 'spanish', 'begin']",normal
0,"['well', 'im', 'gon', 'na', 'finish', 'bath', 'goodfine', 'night']",normal
0,"['let', 'know', 'youve', 'got', 'money', 'carlos', 'make', 'call']",normal
0,"['u', 'still', 'going', 'mall']",normal
0,"['turn', 'friend', 'staying', 'whole', 'show', 'wont', 'back', 'til', 'ltgt', 'feel', 'free', 'go', 'ahead', 'smoke', 'ltgt', 'worth']",anomaly
0,"['text', 'doesnt', 'reply', 'let', 'know', 'log']",normal
0,"['hi', 'spoke', 'maneesha', 'v', 'wed', 'like', 'know', 'satisfied', 'experience', 'reply', 'toll', 'free', 'yes']",normal
0,"['lifted', 'hope', 'offer', 'money', 'need', 'especially', 'end', 'month', 'approach', 'hurt', 'studying', 'anyways', 'gr8', 'weekend']",normal
0,"['lol', 'u', 'trust']",normal
0,"['ok', 'gentleman', 'treat', 'dignity', 'respect']",normal
0,"['guy', 'close']",normal
0,"['going', 'nothing', 'greatbye']",normal
0,"['hello', 'handsome', 'finding', 'job', 'lazy', 'working', 'towards', 'getting', 'back', 'net', 'mummy', 'wheres', 'boytoy', 'doe', 'miss']",normal
0,"['haha', 'awesome', 'minute']",normal
1,"['please', 'call', 'customer', 'service', 'representative', 'freephone', '0808', '145', '4742', '9am11pm', 'guaranteed', '£1000', 'cash', '£5000', 'prize']",normal
0,"['got', 'xmas', 'radio', 'time', 'get']",normal
0,"['jus', 'reached', 'home', 'go', 'bathe', 'first', 'si', 'using', 'net', 'tell', 'u', 'finish', 'k']",anomaly
1,"['unique', 'enough', 'find', '30th', 'august', 'wwwareyouuniquecouk']",normal
0,"['im', 'sorry', 'ive', 'joined', 'league', 'people', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'time', 'even', 'great', 'personal', 'cost', 'great', 'week']",normal
0,"['hi', 'finally', 'completed', 'course']",normal
0,"['stop', 'however', 'suggest', 'stay', 'someone', 'able', 'give', 'every', 'stool']",normal
0,"['hope', 'youve', 'settled', 'new', 'school', 'year', 'wishin', 'gr8', 'day']",normal
0,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']",normal
0,"['u', 'got', 'person', 'story']",normal
0,"['hamster', 'dead', 'hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt']",normal
0,"['hi', 'kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', 'txt', 'back', 'u', 'xxx']",normal
0,"['found', 'enc', 'ltgt']",normal
0,"['sent', 'ltgt', 'buck']",normal
0,"['hello', 'darlin', 'ive', 'finished', 'college', 'txt', 'u', 'finish', 'u', 'love', 'kate', 'xxx']",normal
0,"['account', 'ha', 'refilled', 'successfully', 'inr', 'ltdecimalgt', 'keralacircle', 'prepaid', 'account', 'balance', 'r', 'ltdecimalgt', 'transaction', 'id', 'kr', 'ltgt']",normal
0,"['goodmorning', 'sleeping', 'ga']",normal
0,"['u', 'call', 'alter', '11', 'ok']",normal
0,"['ü', 'say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'oredi', 'lar']",normal
0,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'bos', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",normal
0,"['aight', 'yo', 'dat', 'straight', 'dogg']",normal
0,"['please', 'give', 'u', 'connection', 'today', 'ltdecimalgt', 'refund', 'bill']",normal
0,"['shoot', 'big', 'load', 'get', 'ready']",normal
0,"['whats', 'bruv', 'hope', 'great', 'break', 'rewarding', 'semester']",normal
0,"['home', 'always', 'chat']",normal
0,"['kkgoodstudy', 'well']",normal
0,"['yup', 'ü', 'noe', 'leh']",normal
0,"['sound', 'great', 'home']",normal
0,"['finally', 'match', 'heading', 'towards', 'draw', 'prediction']",normal
0,"['tired', 'havent', 'slept', 'well', 'past', 'night']",normal
0,"['easy', 'ahsen', 'got', 'selected', 'mean', 'good']",normal
0,"['take', 'exam', 'march', '3']",normal
0,"['yeah', 'think', 'use', 'gt', 'atm', 'register', 'sure', 'anyway', 'help', 'let', 'know', 'sure', 'ready']",normal
0,"['ok', 'prob', 'take', 'ur', 'time']",normal
0,"['called', 'ubandu', 'run', 'without', 'installing', 'hard', 'diskyou', 'use', 'copy', 'important', 'file', 'system', 'give', 'repair', 'shop']",normal
0,"['sorry', 'ill', 'call', 'later']",normal
0,"['u', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']",normal
1,"['500', 'new', 'mobile', '2004', 'must', 'go', 'txt', 'nokia', '89545', 'collect', 'todayfrom', '£1', 'www4tcbiz', '2optout', '08718726270150gbpmtmsg18']",anomaly
0,"['would', 'really', 'appreciate', 'call', 'need', 'someone', 'talk']",normal
1,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', '2', 'flyng', 'start', '2', 'find', 'free', 'txt', 'horo', 'followed', 'ur', 'star', 'sign', 'e', 'g', 'horo', 'aries']",normal
0,"['hey', 'company', 'elama', 'po', 'mudyadhu']",normal
0,"['life', 'strict', 'teacher', 'bcoz', 'teacher', 'teach', 'lesson', 'amp', 'conduct', 'exam', 'life', 'first', 'conduct', 'exam', 'amp', 'teach', 'lesson', 'happy', 'morning']",normal
0,"['dear', 'good', 'morning']",normal
0,"['get', 'gandhipuram', 'walk', 'cross', 'cut', 'road', 'right', 'side', 'ltgt', 'street', 'road', 'turn', 'first', 'right']",normal
0,"['dear', 'going', 'rubber', 'place']",normal
0,"['sorry', 'battery', 'died', 'yeah', 'im']",normal
0,"['yeshere', 'tv', 'always', 'available', 'work', 'place']",normal
1,"['text', 'meet', 'someone', 'sexy', 'today', 'u', 'find', 'date', 'even', 'flirt', 'u', 'join', '4', '10p', 'reply', 'name', 'age', 'eg', 'sam', '25', '18', 'msg', 'recdthirtyeight', 'penny']",normal
0,"['printed', 'oh', 'ltgt', 'come', 'upstairs']",normal
0,"['ill', 'little', 'closer', 'like', 'bus', 'stop', 'street']",normal
0,"['youwhen', 'wil', 'reach']",normal
0,"['new', 'theory', 'argument', 'win', 'situation', 'loses', 'person', 'dont', 'argue', 'ur', 'friend', 'kick', 'amp', 'say', 'im', 'always', 'correct']",anomaly
1,"['u', '447801259231', 'secret', 'admirer', 'looking', '2', 'make', 'contact', 'ufind', 'rreveal', 'think', 'ur', 'specialcall', '09058094597']",normal
0,"['tomarrow', 'final', 'hearing', 'laptop', 'case', 'cant']",normal
0,"['pleassssssseeeeee', 'tel', 'v', 'avent', 'done', 'sportsx']",normal
0,"['okay', 'shining', 'wa', 'meant', 'signing', 'sound', 'better']",normal
0,"['although', 'told', 'u', 'dat', 'im', 'baig', 'face', 'watch', 'really', 'like', 'e', 'watch', 'u', 'gave', 'co', 'fr', 'u', 'thanx', '4', 'everything', 'dat', 'uve', 'done', 'today', 'im', 'touched']",normal
0,"['u', 'dont', 'remember', 'old', 'commercial']",normal
0,"['late', 'said', 'website', 'didnt', 'dont', 'slipper']",normal
0,"['asked', 'call', 'ok']",normal
0,"['kallis', 'wont', 'bat', '2nd', 'inning']",normal
0,"['didnt', 'work', 'oh', 'ok', 'goodnight', 'ill', 'fix', 'ready', 'time', 'wake', 'dearly', 'missed', 'good', 'night', 'sleep']",normal
1,"['congratulation', 'ur', 'awarded', '500', 'cd', 'voucher', '125gift', 'guaranteed', 'free', 'entry', '2', '100', 'wkly', 'draw', 'txt', 'music', '87066', 'tncs', 'wwwldewcom1win150ppmx3age16']",normal
0,"['ranjith', 'cal', 'drpd', 'deeraj', 'deepak', '5min', 'hold']",normal
0,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']",normal
0,['doinghow'],normal
